数据集,模型,缺失率,预测长度,mse,mae
ETTh2,DUET,30,96,0.33136242628097534,0.4327932298183441
ETTh2,DUET,30,96,0.33136242628097534,0.4327932298183441
ETTh2,DUET,30,192,0.35222867131233215,0.4460093677043915
ETTh2,DUET,30,192,0.35222867131233215,0.4460093677043915
ETTh2,DUET,30,336,0.36411288380622864,0.44907909631729126
ETTh2,DUET,30,336,0.36411288380622864,0.44907909631729126
ETTh2,DUET,30,720,0.286569207906723,0.406634122133255
ETTh2,DUET,30,720,0.286569207906723,0.406634122133255
ETTh2,DUET,50,96,0.9007782340049744,0.672020673751831
ETTh2,DUET,50,96,0.9007782340049744,0.672020673751831
ETTh2,DUET,50,192,0.948160707950592,0.675897479057312
ETTh2,DUET,50,192,0.948160707950592,0.675897479057312
ETTh2,DUET,50,336,0.9686124324798584,0.681640625
ETTh2,DUET,50,336,0.9686124324798584,0.681640625
ETTh2,DUET,50,720,1.0204970836639404,0.7063824534416199
ETTh2,DUET,50,720,1.0204970836639404,0.7063824534416199
ETTh2,DUET,80,96,0.7142918109893799,0.573228120803833
ETTh2,DUET,80,96,0.7142918109893799,0.573228120803833
ETTh2,DUET,80,192,0.7604852318763733,0.5914012789726257
ETTh2,DUET,80,192,0.7604852318763733,0.5914012789726257
ETTh2,DUET,80,336,1.5271377563476562,0.8670937418937683
ETTh2,DUET,80,336,1.5271377563476562,0.8670937418937683
ETTh2,DUET,80,720,1.5927437543869019,0.8656373023986816
ETTh2,DUET,80,720,1.5927437543869019,0.8656373023986816
ETTh2,SEED,0,96,0.18259300291538239,0.28897833824157715
ETTh2,SEED,0,192,0.22050578892230988,0.3214794993400574
ETTh2,SEED,0,336,0.2516636550426483,0.348273903131485
ETTh2,SEED,0,720,0.3145204782485962,0.3909260928630829
ETTh2,SEED,5,96,0.1564389318227768,0.2757904827594757
ETTh2,SEED,5,192,0.18820717930793762,0.30584266781806946
ETTh2,SEED,5,336,0.21090881526470184,0.3300096392631531
ETTh2,SEED,5,720,0.2626901865005493,0.3747793436050415
ETTh2,SEED,10,96,0.1364065557718277,0.2622254490852356
ETTh2,SEED,10,192,0.1614009141921997,0.28675001859664917
ETTh2,SEED,10,336,0.18378068506717682,0.3098100423812866
ETTh2,SEED,10,720,0.22587497532367706,0.34660080075263977
ETTh2,SEED,20,96,0.1415501981973648,0.2741003632545471
ETTh2,SEED,20,192,0.159151092171669,0.29334595799446106
ETTh2,SEED,20,336,0.1743616908788681,0.30749526619911194
ETTh2,SEED,20,720,0.2143043875694275,0.34626999497413635
ETTh2,SEED,30,96,0.15281936526298523,0.2847488224506378
ETTh2,SEED,30,192,0.17258980870246887,0.3054673373699188
ETTh2,SEED,30,336,0.19238555431365967,0.32105129957199097
ETTh2,SEED,30,720,0.24047203361988068,0.3647918999195099
ETTh2,SEED,50,96,0.21079762279987335,0.3310076892375946
ETTh2,SEED,50,192,0.2416430562734604,0.3548011779785156
ETTh2,SEED,50,336,0.2846347987651825,0.3805869221687317
ETTh2,SEED,50,720,0.3281724750995636,0.4224761426448822
ETTh2,SEED,80,96,0.6061675548553467,0.530946671962738
ETTh2,SEED,80,192,0.5823012590408325,0.543446958065033
ETTh2,SEED,80,336,0.5585489869117737,0.5380492210388184
ETTh2,SEED,80,720,0.8355220556259155,0.658708393573761
ETTh2,TQNet,0,96,0.1825210005044937,0.286947101354599
ETTh2,TQNet,0,192,0.22049744427204132,0.32078444957733154
ETTh2,TQNet,0,336,0.2439541518688202,0.33988919854164124
ETTh2,TQNet,0,720,0.3010755181312561,0.3827347159385681
ETTh2,TQNet,5,96,0.15893444418907166,0.2789454758167267
ETTh2,TQNet,5,192,0.1873176395893097,0.3054357171058655
ETTh2,TQNet,5,336,0.20920111238956451,0.3241874575614929
ETTh2,TQNet,5,720,0.2644732892513275,0.3730250597000122
ETTh2,TQNet,10,96,0.13865986466407776,0.2632595896720886
ETTh2,TQNet,10,192,0.16636209189891815,0.292105495929718
ETTh2,TQNet,10,336,0.18854594230651855,0.31284093856811523
ETTh2,TQNet,10,720,0.24530470371246338,0.3614821135997772
ETTh2,TQNet,20,96,0.13545455038547516,0.2632445693016052
ETTh2,TQNet,20,192,0.15472981333732605,0.2858351171016693
ETTh2,TQNet,20,336,0.17979313433170319,0.3103818893432617
ETTh2,TQNet,20,720,0.24605128169059753,0.3644789457321167
ETTh2,TQNet,30,96,0.14654815196990967,0.2760346829891205
ETTh2,TQNet,30,192,0.16877616941928864,0.2995408773422241
ETTh2,TQNet,30,336,0.19290465116500854,0.3210628032684326
ETTh2,TQNet,30,720,0.2797376215457916,0.3896837532520294
ETTh2,TQNet,50,96,0.20852193236351013,0.3193509578704834
ETTh2,TQNet,50,192,0.22393187880516052,0.3350123167037964
ETTh2,TQNet,50,336,0.2670036256313324,0.3612144887447357
ETTh2,TQNet,50,720,0.37901169061660767,0.43512725830078125
ETTh2,TQNet,80,96,0.5473484396934509,0.4957693815231323
ETTh2,TQNet,80,192,0.6415389180183411,0.5389530062675476
ETTh2,TQNet,80,336,0.689601480960846,0.554736316204071
ETTh2,TQNet,80,720,1.0397846698760986,0.6691210269927979
ETTh2,TimeFilter,0,96,0.17969852685928345,0.28405821323394775
ETTh2,TimeFilter,0,192,0.22464777529239655,0.32124483585357666
ETTh2,TimeFilter,0,336,0.25691619515419006,0.3448607325553894
ETTh2,TimeFilter,0,720,0.32775455713272095,0.3988565504550934
ETTh2,TimeFilter,5,96,0.15265387296676636,0.27083656191825867
ETTh2,TimeFilter,5,192,0.18540722131729126,0.30018386244773865
ETTh2,TimeFilter,5,336,0.20868560671806335,0.323649138212204
ETTh2,TimeFilter,5,720,0.26974955201148987,0.37444189190864563
ETTh2,TimeFilter,10,96,0.13229063153266907,0.2575158476829529
