2026-05-01 21:13:28,372 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 21:13:28,426 - INFO - >>>>>>>start training : with_residual_decomposition_v2_96_96_TQNet_2_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 21:17:13,872 - INFO - Y_seasonal mean abs: 1.4007, output mean abs: 0.4897
2026-05-01 21:17:13,893 - INFO - Y_seasonal mean abs: 1.3918, output mean abs: 0.4921
2026-05-01 21:17:13,915 - INFO - Y_seasonal mean abs: 1.3927, output mean abs: 0.4878
2026-05-01 21:17:13,936 - INFO - Y_seasonal mean abs: 1.3886, output mean abs: 0.4901
2026-05-01 21:17:13,957 - INFO - Y_seasonal mean abs: 1.3848, output mean abs: 0.4849
2026-05-01 21:17:13,978 - INFO - Y_seasonal mean abs: 1.3842, output mean abs: 0.4769
2026-05-01 21:17:13,998 - INFO - Y_seasonal mean abs: 1.3767, output mean abs: 0.4714
2026-05-01 21:17:14,018 - INFO - Y_seasonal mean abs: 1.3738, output mean abs: 0.4599
2026-05-01 21:17:14,039 - INFO - Y_seasonal mean abs: 1.3726, output mean abs: 0.4488
2026-05-01 21:17:14,060 - INFO - Y_seasonal mean abs: 1.3682, output mean abs: 0.4633
2026-05-01 21:17:14,081 - INFO - Y_seasonal mean abs: 1.3723, output mean abs: 0.4629
2026-05-01 21:17:14,100 - INFO - Y_seasonal mean abs: 1.3662, output mean abs: 0.4665
2026-05-01 21:17:14,122 - INFO - Y_seasonal mean abs: 1.3663, output mean abs: 0.4693
2026-05-01 21:17:14,142 - INFO - Y_seasonal mean abs: 1.3655, output mean abs: 0.4678
2026-05-01 21:17:14,164 - INFO - Y_seasonal mean abs: 1.3641, output mean abs: 0.4777
2026-05-01 21:17:14,185 - INFO - Y_seasonal mean abs: 1.3618, output mean abs: 0.4888
2026-05-01 21:17:14,205 - INFO - Y_seasonal mean abs: 1.3557, output mean abs: 0.4768
2026-05-01 21:17:14,227 - INFO - Y_seasonal mean abs: 1.3536, output mean abs: 0.4865
2026-05-01 21:17:14,248 - INFO - Y_seasonal mean abs: 1.3498, output mean abs: 0.4872
2026-05-01 21:17:14,270 - INFO - Y_seasonal mean abs: 1.3490, output mean abs: 0.4891
2026-05-01 21:17:14,288 - INFO - Y_seasonal mean abs: 1.3453, output mean abs: 0.4907
2026-05-01 21:17:14,309 - INFO - Y_seasonal mean abs: 1.3379, output mean abs: 0.4713
2026-05-01 21:17:14,329 - INFO - Y_seasonal mean abs: 1.3420, output mean abs: 0.4810
2026-05-01 21:17:14,350 - INFO - Y_seasonal mean abs: 1.3381, output mean abs: 0.4630
2026-05-01 21:17:14,372 - INFO - Y_seasonal mean abs: 1.3308, output mean abs: 0.4658
2026-05-01 21:17:14,393 - INFO - Y_seasonal mean abs: 1.3308, output mean abs: 0.4603
2026-05-01 21:17:14,415 - INFO - Y_seasonal mean abs: 1.3302, output mean abs: 0.4589
2026-05-01 21:17:14,437 - INFO - Y_seasonal mean abs: 1.3279, output mean abs: 0.4659
2026-05-01 21:17:14,460 - INFO - Y_seasonal mean abs: 1.3276, output mean abs: 0.4631
