2026-05-01 22:16:05,749 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 22:16:05,801 - INFO - >>>>>>>start training : 取消Y_seasonal_96_96_TQNet_2_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 22:19:27,898 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4648
2026-05-01 22:19:27,904 - INFO - Y_seasonal mean abs: 0.2115, output mean abs: 0.4824
2026-05-01 22:19:28,591 - INFO - Epoch: 3, Steps: 46 | Train Loss: 0.4196550 Vali Loss: 0.3600576 Test Loss: 0.4605982
2026-05-01 22:19:28,591 - INFO - Validation loss decreased (0.367923 --> 0.360058).  Saving model ...
2026-05-01 22:19:28,596 - INFO - Updating learning rate to 0.001
2026-05-01 22:19:49,715 - INFO - Y_seasonal mean abs: 0.2786, output mean abs: 0.4834
2026-05-01 22:19:49,976 - INFO - Y_seasonal mean abs: 0.2782, output mean abs: 0.4898
2026-05-01 22:19:49,999 - INFO - Y_seasonal mean abs: 0.2779, output mean abs: 0.4835
2026-05-01 22:19:50,019 - INFO - Y_seasonal mean abs: 0.2781, output mean abs: 0.4755
2026-05-01 22:19:50,040 - INFO - Y_seasonal mean abs: 0.2778, output mean abs: 0.4748
2026-05-01 22:19:50,062 - INFO - Y_seasonal mean abs: 0.2778, output mean abs: 0.4666
2026-05-01 22:19:50,084 - INFO - Y_seasonal mean abs: 0.2780, output mean abs: 0.4764
2026-05-01 22:19:50,106 - INFO - Y_seasonal mean abs: 0.2779, output mean abs: 0.4799
2026-05-01 22:19:50,128 - INFO - Y_seasonal mean abs: 0.2778, output mean abs: 0.4817
2026-05-01 22:19:50,148 - INFO - Y_seasonal mean abs: 0.2790, output mean abs: 0.4832
2026-05-01 22:19:50,168 - INFO - Y_seasonal mean abs: 0.2780, output mean abs: 0.4772
2026-05-01 22:19:50,187 - INFO - Y_seasonal mean abs: 0.2782, output mean abs: 0.4901
2026-05-01 22:19:50,207 - INFO - Y_seasonal mean abs: 0.2783, output mean abs: 0.4972
2026-05-01 22:19:50,227 - INFO - Y_seasonal mean abs: 0.2779, output mean abs: 0.4909
2026-05-01 22:19:50,247 - INFO - Y_seasonal mean abs: 0.2778, output mean abs: 0.4946
2026-05-01 22:19:50,267 - INFO - Y_seasonal mean abs: 0.2778, output mean abs: 0.4888
2026-05-01 22:19:50,285 - INFO - Y_seasonal mean abs: 0.2777, output mean abs: 0.4888
