2026-05-01 21:27:14,090 - INFO - 模型总的参数数量: 1.1235M
2026-05-01 21:27:14,148 - INFO - >>>>>>>start training : 注意力只用周期且加tanh_96_96_TQNet_1_ETTh1_missing_20_ftM_sl96_pl96_cycle0_seed2024>>>>>>>>>>>>>>>>>>>>>>>>>>
2026-05-01 21:29:34,601 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4454
2026-05-01 21:29:34,682 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4431
2026-05-01 21:29:34,749 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.5216
2026-05-01 21:29:34,763 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.5149
2026-05-01 21:29:34,772 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4617
2026-05-01 21:29:34,783 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.5542
2026-05-01 21:29:34,795 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.5506
2026-05-01 21:29:34,805 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.5257
2026-05-01 21:29:34,813 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.5156
2026-05-01 21:29:34,821 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4634
2026-05-01 21:29:34,833 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4886
2026-05-01 21:29:34,844 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4679
2026-05-01 21:29:34,853 - INFO - Y_seasonal mean abs: 0.8947, output mean abs: 0.4886
2026-05-01 21:29:35,556 - INFO - Epoch: 2, Steps: 46 | Train Loss: 0.4847023 Vali Loss: 0.3687701 Test Loss: 0.4752312
2026-05-01 21:29:35,557 - INFO - Validation loss decreased (0.508728 --> 0.368770).  Saving model ...
2026-05-01 21:29:35,562 - INFO - Updating learning rate to 0.001
2026-05-01 21:29:57,888 - INFO - Y_seasonal mean abs: 0.8252, output mean abs: 0.4992
2026-05-01 21:29:58,087 - INFO - Y_seasonal mean abs: 0.8247, output mean abs: 0.4996
2026-05-01 21:29:58,161 - INFO - Y_seasonal mean abs: 0.8262, output mean abs: 0.4967
2026-05-01 21:29:58,183 - INFO - Y_seasonal mean abs: 0.8274, output mean abs: 0.4943
2026-05-01 21:29:58,209 - INFO - Y_seasonal mean abs: 0.8280, output mean abs: 0.4881
2026-05-01 21:29:58,232 - INFO - Y_seasonal mean abs: 0.8283, output mean abs: 0.4869
2026-05-01 21:29:58,255 - INFO - Y_seasonal mean abs: 0.8303, output mean abs: 0.4862
